Postingan,Kategori Pekerjaan
Apakah Anda seorang ahli perangkat lunak komputer yang proaktif dan dapat bekerja dalam lingkungan yang dinamis? Bergabunglah dengan tim kami dan bantu kami meningkatkan efisiensi sistem kami.,Service Perangkat lunak
"Perusahaan kami sedang membangun rumah susun dan juga membuat perabotan rumahnya seperti meja, kursi, lemari, jendela, pintu, dan lainnya. Jadi kamu membutuhkan beberapa tukang cat yang siap bekerja dengan cepat tapi hasilnya maksimal. Tidak perlu pengalaman yang lama, cukup memahami dasar-dasar pengecatan dan siap bekerja dalam tekanan karena proyek kami sedang dikejar deadline. Material yang akan dilakukan pengecatan kebanyakan adalah kayu. Segera kirimkan lamaran Anda secepatnya.",Tukang Cat
"Lowongan teknisi komputer kami mengutamakan kandidat yang dapat melakukan pemeliharaan preventif, pemantauan, dan peningkatan sistem komputer agar sesuai dengan kebutuhan perusahaan.",Service Sistem
"Kami mencari teknisi komputer berfokus pada perangkat lunak yang dapat membawa inovasi ke tim kami. Jika Anda memiliki keahlian dalam memahami dan mengevaluasi kebutuhan pengguna terkait perangkat lunak, serta dapat merancang solusi yang intuitif, kami sangat tertarik untuk mendengar lebih lanjut.",Service Perangkat lunak
Dibutuhkan segera tukang las berpengalaman untuk proyek pengelasan struktural gedung tinggi. Kami mencari individu yang mahir dalam teknik pengelasan struktural dan memiliki pemahaman mendalam tentang keamanan konstruksi. Pengalaman dalam proyek bangunan bertingkat atau struktur besar lainnya sangat diutamakan.,Tukang Las
Kami mencari teknisi komputer yang memiliki keahlian dalam merencanakan dan mengelola strategi backup serta pemulihan untuk melindungi data perusahaan dari kehilangan dan kerusakan.,Service Sistem
"Kesempatan menarik bagi tukang batu yang memiliki keahlian khusus, seperti tukang batu alam, ukir batu, atau pembuat batu pondasi. Kualifikasi yang dicari termasuk pengalaman relevan dalam spesialisasi masing-masing, pemahaman tentang struktur batu, dan kemampuan untuk beradaptasi dengan berbagai proyek konstruksi. Pelamar diharapkan memiliki pengetahuan mendalam tentang keselamatan kerja.",Tukang Batu
"Dibutuhkan tukang kayu handal yang dapat menciptakan furnitur ruang makan yang elegan dan praktis, memperhatikan detail estetika dan fungsionalitas.",Tukang Kayu
"Permasalahan yang saya hadapi adalah beberapa AC pada rumah saya mengalami kerusakan, termasuk mesin AC tidak menyala, kipas AC tidak berputar dengan benar, dan berbagai masalah lainnya. Oleh karena itu, saya sangat membutuhkan bantuan seorang tukang servis AC untuk melakukan pengecekan dan perbaikan AC.",Servis AC
Kami membutuhkan bantuan teknisi elektronik karena dua kulkas dan freezer yang kami gunakan di restoran tempat kami bekerja mengalami kerusakan. Kerusakan tersebut telah terjadi untuk jangka waktu cukup lama sehingga bahan-bahan untuk memasak tidak dapat disimpan dengan aman. Kami sangat berharap bahwa teknisi yang sesuai akan dapat memperbaiki kondisi kulkas dan freezer kami dengan cepat.,Servis Kulkas
Kami membuka posisi tukang kayu perabotan untuk individu yang memiliki kemampuan merancang dan membangun perabotan sesuai dengan keinginan pelanggan. Keahlian ini harus dipadukan dengan kemampuan bekerja mandiri dan manajemen waktu yang baik.,Tukang Kayu
Kami mencari tukang las yang mahir dalam proyek pengelasan struktural untuk pembangunan jembatan. Pekerjaan mencakup pengelasan komponen struktural jembatan dan perakitan logam. Pelamar diharapkan memiliki keterampilan pengelasan yang tinggi dan pengalaman dalam proyek konstruksi jembatan atau struktur besar sejenis.,Tukang Las
"Kami sedang mencari tukang semen berpengalaman untuk proyek pemeliharaan dan perawatan bangunan. Kualifikasi termasuk pengalaman minimal 1 tahun dalam perbaikan struktur beton, pemahaman tentang teknik perawatan beton, dan kemampuan untuk mengidentifikasi dan menangani masalah struktural.",Tukang Semen
"Kami mencari teknisi komputer yang mahir dalam penggunaan alat analisis data seperti Tableau, Power BI, atau Qlik untuk menghasilkan laporan dan visualisasi data yang informatif.",Service Data
"Kami mengalami masalah dengan beberapa mesin cuci kami di tempat cuci pakaian kami. Beberapa mesin cuci memiliki masalah elektronik, yaitu kejang, berhenti bekerja atau error kode. Kami memerlukan bantuan dari seorang teknisi elektronik yang ahli untuk mendiagnosa dan memperbaiki mesin cuci.",Servis Mesin Cuci
Bergabunglah dalam proyek renovasi kami! Kami mencari tukang batu berpengalaman untuk pemilihan material dan pengaturan batuan pada trotoar dan jalan. Pengalaman terkait diutamakan.,Tukang Batu
"Tolong! Band kami menghadapi masalah serius dengan sound system yang mengalami kerusakan mendesak. Kami memiliki penampilan yang sangat penting dalam seminggu, dan sound system kami tidak berfungsi dengan baik. Kami sedang mencari teknisi elektronik berpengalaman yang bisa membantu memperbaiki perangkat ini secepat mungkin. Jika Anda memiliki keahlian dalam memperbaiki sound system dan bisa membantu kami dalam waktu singkat, harap segera hubungi kami.",Servis Soundsystem
"Kulkas saya tidak bekerja dengan benar, kompresor tidak menyala dan bising. Kotoran dan udara dingin tidak tertutup dengan sempurna. Saya perlu bantuan dari seorang teknisi elektronik yang ahli untuk memperbaiki kulkas saya.",Servis Kulkas
Ada masalah dengan AC di kantor rumah saya; AC tidak berfungsi sebagaimana mestinya dan terdengar adanya suara aneh saat dihidupkan. Saya sedang mencari teknisi servis AC yang dapat segera datang ke lokasi untuk memeriksa dan memperbaiki AC tersebut. Mohon untuk segera menghubungi saya jika Anda tersedia.,Servis AC
"Lowongan teknisi komputer kami terbuka bagi individu yang dapat merancang dan mengimplementasikan kebijakan keamanan siber yang komprehensif, melibatkan aspek teknis dan kebijakan.",Service Keamanan
"Kami sedang mencari tukang las stainless steel untuk proyek industri farmasi. Kualifikasi mencakup pemahaman tentang kebersihan dan sterilisasi, kemampuan mengelas stainless steel dengan kehalusan, dan kepatuhan terhadap regulasi farmasi.",Tukang Las
"Kesempatan menarik bagi tukang kayu yang memiliki bakat dalam menciptakan karya seni kayu unik. Kualifikasi yang dicari melibatkan keahlian tukang kayu yang kreatif, kemampuan untuk menghasilkan karya seni kayu yang estetis, dan pengetahuan mendalam tentang teknik tukang kayu artistik. Pelamar diharapkan memiliki portofolio yang mencerminkan karya seni kayu sebelumnya dan keterampilan komunikasi yang baik.",Tukang Kayu
Kulkas saya mengalami kerusakan. Tidak terdengar suara pada saat saya menekan tombol dan dingin terasa kurang. Saya membutuhkan bantuan dari seorang teknisi elektronik untuk servis kulkas saya.,Servis Kulkas
Beberapa unit AC di sekolah tempat saya bekerja bermasalah; mengalami kesulitan dalam memberikan pendinginan yang optimal dan terdengar suara tidak biasa saat beroperasi. Kami sedang mencari teknisi servis AC yang dapat memeriksa dan memperbaiki masalah pada unit-unit AC ini. Mohon segera hubungi kami jika Anda memiliki keahlian dalam perbaikan AC. Terima kasih!,Servis AC
Lowongan untuk tukang kayu berpengalaman dengan pengetahuan mendalam tentang kayu jati dan mahoni untuk proyek eksklusif di bukit Bintang.,Tukang Kayu
Kami mencari teknisi komputer yang ahli dalam penerapan teknologi data terdistribusi dan dapat memastikan keakuratan dan ketersediaan data di seluruh infrastruktur.,Service Data
Kami membuka peluang bagi teknisi komputer yang memiliki keahlian dalam mengelola dan mengamankan data yang berkaitan dengan kebijakan keamanan siber dan privasi informasi.,Service Data
"Lowongan teknisi komputer kami terbuka bagi individu yang dapat merancang dan mengelola kebijakan keamanan data, serta dapat memastikan kepatuhan dengan regulasi privasi yang berlaku.",Service Keamanan
"Kami mencari teknisi komputer yang berfokus pada perangkat keras dengan pengetahuan luas tentang motherboard, GPU, dan perangkat keras lainnya. Jika Anda memiliki rekam jejak yang solid dalam bidang ini, kami sangat berminat untuk mengenal Anda lebih lanjut.",Service Perangkat keras
Kami mengundang para ahli perangkat lunak komputer yang memiliki pengalaman dalam implementasi solusi perangkat lunak terkini untuk melamar posisi teknisi komputer di perusahaan kami.,Service Perangkat lunak
"Kulkas saya mengalami masalah belakangan ini, yakni tidak mendinginkan dengan baik dan terdengar suara aneh dari bagian belakangnya. Masalah ini telah terjadi selama seminggu terakhir, dan saya membutuhkan bantuan seorang teknisi elektronik yang memiliki keahlian dalam memperbaiki kulkas. Mohon segera hubungi saya jika Anda memiliki kemampuan yang diperlukan.",Servis Kulkas
"Kulkas saya diduga mengalami masalah pada kompresor dalam dua minggu terakhir, mengakibatkan ketidakmampuan kulkas untuk melakukan pendinginan dengan baik. Saya membutuhkan bantuan teknisi elektronik yang ahli dalam perbaikan kulkas untuk mengevaluasi dan memperbaiki masalah ini. Mohon segera hubungi saya jika Anda memiliki keterampilan yang diperlukan.",Servis Kulkas
"Kami membuka kesempatan bagi teknisi komputer yang dapat merespon panggilan service dengan cepat dan efisien, memberikan solusi yang tepat.",Service Perangkat keras
Apakah Anda memiliki pengalaman dalam mengelola dan mengoptimalkan sistem operasi seperti Windows dan Linux? Kami membuka peluang bagi Anda untuk bergabung sebagai teknisi komputer di tim kami.,Service Sistem
"Mesin cuci di tempat saya bekerja telah mengalami kerusakan, termasuk tegangan listrik yang tidak stabil, motor yang berisik atau bergetar dengan kuat, dan bahkan air yang tumpah keluar saat mesin berputar. Ini menunjukkan bahwa mesin cuci perlu direparasi.",Servis Mesin Cuci
"Beberapa mesin cuci kami saat ini mengalami kerusakan dari problem listrik, seperti tidak menyalakan atau mati sendiri. Oleh karena itu, kami mencari tukang servis elektronik yang bisa memperbaiki masalah ini secepatnya.",Servis Mesin Cuci
"Kami membutuhkan beberapa tukang cat profesional yang siap bekerja bersama kami melakukan proses pengecatan untuk gedung-gedung bertingkat. Kami perlu orang yang juga megerti tentang jenis-jenis cat dan bagaimana mencampurkannya agar menjadi warna unik yang diinginkan oleh klien.  Jika memiliki keahlian khusus dalam pengecatan faux finish, seperti teknik marmerisasi dan patina akan dipertimbangkan. Tetapi yang paling utama adalah niat yang kuat, mampu bekerja sama , dan siap ditempatkan dimanapun. Masalah gaji tidak perlu dikhawatirkan.",Tukang Cat
"Perusahaan kami membuka peluang bagi tukang las stainless steel yang kreatif untuk proyek custom. Kualifikasi mencakup pengalaman dalam mengelas stainless steel, kemampuan membaca desain custom, dan fokus pada detail tinggi.",Tukang Las
"Lowongan teknisi komputer kami mencari individu yang tidak hanya memiliki pengetahuan mendalam tentang perangkat lunak, tetapi juga kemampuan untuk memberikan pelatihan dan dukungan kepada pengguna akhir.",Service Perangkat lunak
Apakah Anda memiliki pengalaman dalam mengelola proyek pengembangan perangkat lunak? Kami mencari teknisi komputer yang dapat memimpin dan berkontribusi pada pengembangan perangkat lunak kami.,Service Perangkat lunak
"Proyek modernisasi kami membuka peluang bagi tukang semen berpengalaman. Apakah Anda memiliki keahlian dalam merumuskan campuran beton inovatif? Bergabunglah dengan kami dan berkontribusi pada pembangunan yang berkelanjutan. Tidak ada batasan pengalaman, yang penting semangat untuk menciptakan perubahan!",Tukang Semen
"Saya membutuhkan jasa servis elektronik untuk memperbaiki televisi digital saya yang mengalami kerusakan. Masalahnya berupa tidak adanya gambar/siaran, meski sudah coba dilakukan perbaikan dan restart alat. Kerusakan ini sudah berlangsung sejak sekitar seminggu lalu.",Servis Televisi
"Kami membutuhkan tukang cat motif yang kreatif dan inovatif. Pekerjaan mencakup pengecatan berbagai motif, termasuk marmer, batik, dan abstrak. Jika Anda memiliki keahlian dalam menciptakan seni pada permukaan cat, kami mengundang Anda untuk bergabung dengan proyek-proyek kami yang menarik!",Tukang Cat
"Proyek interior terbaru kami memerlukan tukang cat berpengalaman dengan spesialisasi dalam pengecatan ruang dalam. Kualifikasi mencakup pengalaman dalam menciptakan atmosfer yang unik melalui warna dan tekstur. Pengalaman di bidang pengecatan ruang dalam seperti kamar tidur, ruang tamu, dan dapur menjadi nilai tambah. Gaji menarik dan fasilitas kerja yang nyaman menanti Anda.",Tukang Cat
Kami mencari teknisi komputer yang memiliki pemahaman mendalam tentang arsitektur perangkat lunak dan dapat berkolaborasi dengan tim untuk menciptakan solusi yang efektif.,Service Perangkat lunak
"Perusahaan kami mencari tukang cat kayu berbakat yang memiliki keahlian dalam merestorasi dan menghidupkan kembali furnitur. Kualifikasi yang diinginkan termasuk pemahaman tentang berbagai jenis cat kayu, kemampuan menyesuaikan warna, dan keterampilan menangani berbagai permukaan kayu.",Tukang Cat
"Peluang pekerjaan terbuka untuk teknisi komputer yang memiliki keahlian dalam melakukan diagnosis dan perbaikan pada berbagai masalah perangkat lunak, seperti sistem operasi, aplikasi, dan komponen lain.",Service Perangkat lunak
Kulkas dan freezer kami telah mengalami kerusakan dan kami perlu teknisi yang bisa mengecek dan memperbaiki. Kami membutuhkan orang yang ahli di bidang elektronik dengan pengalaman dalam servis kulkas dan freezer.,Servis Kulkas
"Saya mencari teknisi elektronik yang berpengalaman yang dapat menangani servis dan memperbaiki televisi digital saya yang sudah rusak. Tv saya mengalami masalah sejak kurang dari seminggu yang lalu, termasuk hilangnya sinyal, gelap, tidak mau menyala, dan masalah lainnya. Mohon bantuan Anda. Terima kasih.",Servis Televisi
"Dibutuhkan tukang las logam berpengalaman untuk pekerjaan railing balkon. Kualifikasi mencakup keahlian dalam mengelas logam dengan presisi untuk struktur railing, pemahaman tentang kode keselamatan balkon, dan fokus pada detail estetis.",Tukang Las
Saya memiliki televisi digital yang rusak dan sudah tidak berfungsi selama beberapa minggu. Anggota keluarga saya telah mencoba berbagai solusi secara mandiri namun sampai saat ini masalahnya tidak pernah terselesaikan. Saya sangat membutuhkan bantuan dan bantuan teknisi elektronik yang berpengalaman yang dapat memperbaiki kondisi ini.,Servis Televisi
"Mesin cuci saya tidak mau menyala setelah dihidupkan. Kedua, lampu indikator di mesin cuci saya berkedip-kedip, dan bunyi berdering muncul secara terus-menerus. Akhirnya, kipas mesin cuci saya terus-menerus berputar meskipun mesin cuci telah mati. Saya sangat mengharapkan bantuan teknisi elektronik untuk memperbaiki masalah tersebut.",Servis Mesin Cuci
"Lowongan teknisi komputer kami terbuka untuk individu yang dapat mengelola infrastruktur IT, termasuk server, jaringan, dan sistem penyimpanan, dengan fokus pada keandalan dan kinerja.",Service Sistem
Posisi terbuka untuk tukang kayu berpengalaman yang dapat menciptakan furnitur dengan nuansa tradisional namun tetap sesuai dengan tuntutan gaya modern.,Tukang Kayu
"Sound system yang saya gunakan sekarang mengalami kerusakan, dimana beberapa speaker, mixer dan alat-alat lainnya tidak berfungsi dengan benar. Band saya membutuhkan teknisi elektronik untuk datang dan memperbaiki sound system untuk tampil dalam seminggu ke depan.",Servis Soundsystem
"Soundsystem saya mengalami kerusakan yang berpotensi mempengaruhi volume, audio yang berinteraksi dengan pengaturan suara, dan juga syarat-syarat lain. Apabila Anda memiliki pengalaman teknisi elektronik yang terkait dengan servis dan pemeliharaan soundsystem, tolong jangan ragu untuk menghubungi saya. Terima kasih.",Servis Soundsystem
Apakah Anda memiliki keahlian dalam merancang dan mengoptimalkan query SQL? Kami mengajak teknisi komputer yang berkualifikasi untuk bergabung dalam tim kami.,Service Data
"Kesempatan istimewa bagi tukang batu dengan keahlian ukir batu untuk proyek monumen dan patung. Kualifikasi melibatkan kemampuan untuk mengukir detail halus pada batu, pengalaman dalam menangani batu besar, dan pemahaman tentang kestabilan struktural. Pelamar diharapkan memiliki ketekunan dan kreativitas yang tinggi.",Tukang Batu
"Mesin cuci yang digunakan di tempat saya bekerja saat ini mengalami kerusakan, sehingga membutuhkan bantuan teknisi elektronik untuk melakukan servis. Kerusakannya bisa berupa mesin cuci yang tidak menyala, mesin cuci tidak menyalakan deterjen, dan mesin cuci tak bisa menghanguskan.",Servis Mesin Cuci
Apakah Anda memiliki keahlian dalam administrasi sistem server dan dapat merancang kebijakan keamanan yang efektif? Bergabunglah dengan kami sebagai teknisi komputer.,Service Sistem
"Lowongan teknisi komputer kami terbuka bagi individu yang dapat memberikan pelatihan keamanan kepada karyawan, meningkatkan kesadaran akan risiko keamanan, dan mempromosikan budaya keamanan di seluruh perusahaan.",Service Keamanan
Membutuhkan bantuan! Beberapa unit AC di rumah mengalami kerusakan. Dicari tukang servis AC yang dapat datang ke lokasi untuk melakukan perbaikan secepat mungkin. Mohon kontak saya untuk jadwal kunjungan.,Servis AC
"Lowongan teknisi komputer kami mengutamakan kandidat yang dapat memimpin inisiatif keamanan siber, termasuk pelaksanaan pelatihan keamanan dan penyusunan kebijakan keamanan IT.",Service Keamanan
"Kami mencari teknisi komputer berpengalaman yang dapat mengelola dan mengoptimalkan sistem keamanan, termasuk kebijakan akses, deteksi ancaman, dan pemantauan keamanan siber.",Service Keamanan
"Kulkas di kantor tempat saya bekerja mengalami kerusakan, permasalahannya adalah mesin kulkas sangat bising saat dinyalakan dan tidak dapat menjaga suhu yang normal. Kami perlu memanggil teknisi elektronik yang bisa menjaga dan memperbaiki kulkas ini.",Servis Kulkas
"Saya membutuhkan bantuan teknisi elektronik yang bisa memperbaiki kulkas dan freezer kami yang mengalami kerusakan. Kerusakan ini telah terjadai selama beberapa minggu, dan membuat kami kesulitan untuk menyimpan bahan makanan. Silahkan hubungi saya jika Anda bisa membantu.",Servis Kulkas
"Lowongan teknisi komputer terbuka untuk individu yang memiliki kepekaan terhadap perkembangan terbaru dalam teknologi perangkat lunak. Jika Anda memiliki kemampuan untuk menganalisis tren industri, memilih aplikasi terbaik untuk kebutuhan bisnis, dan dapat mengelola siklus hidup perangkat lunak, kami mengajak Anda untuk mengirimkan lamaran.",Service Perangkat lunak
"Kami sedang menjalani proyek pengecatan yang membutuhkan tukang cat dengan pengalaman dan dedikasi yang tinggi. Dengan deadline yang sangat padat, kami perlu berkolaborasi dengan tim yang siap bekerja di bawah tekanan.",Tukang Cat
"Dibutuhkan tukang cat bangunan untuk spesialisasi dalam mencat fasade. Kualifikasi melibatkan pengalaman dalam menghadapi kondisi cuaca ekstrem, pemilihan cat tahan lama untuk eksterior, dan kemampuan untuk memberikan tampilan yang menarik pada bangunan.",Tukang Cat
"Dibutuhkan tukang semen yang memiliki pengalaman dalam penyemenan proyek-proyek besar, seperti jembatan, flyover, gedung bertingkat, dan lainnya. Proyek yang akan kami kerjakan berusaha untuk mengimplementasikan inovasi dalam formulasi campuran beton untuk meningkatkan daya tahan dan ketahanan terhadap cuaca ekstrem. Tidak ada ada minimal pengalaman yang disyaratkan, yang terpenting memiliki niat dan semangat bekerja sama.",Tukang Semen
"Sound system saya mengalami kerusakan, permasalahannya terdapat bunyi berisik saat dimainkan. Penyebabnya mungkin dikarenakan kerusakan pada komponen elektronik internal atau kabel yang rusak. Tehnisi profesional di harapkan untuk membantu memperbaiki masalah tersebut.",Servis Soundsystem
"Dicari teknisi komputer yang memiliki keahlian dalam mengidentifikasi dan memperbaiki berbagai masalah perangkat keras seperti kerusakan motherboard, komponen elektronik, serta masalah daya.",Service Perangkat keras
Posisi terbuka untuk tukang kayu berpengalaman yang dapat menghadirkan sentuhan kreatif pada pembuatan furnitur kustom sesuai dengan selera dan gaya modern.,Tukang Kayu
"Kami mencari teknisi komputer berfokus pada perangkat lunak yang dapat membawa visi kreatif ke tim kami. Jika Anda memiliki keahlian dalam merancang antarmuka pengguna yang intuitif, memahami tren desain perangkat lunak, dan dapat memastikan pengalaman pengguna yang mulus, kami ingin mendengar lebih lanjut tentang keunggulan Anda.",Service Perangkat lunak
Postingan saya mencari teknisi elektronik untuk servis mesin cuci saya. Mesin cuci tidak menyala dan sudah tidak berfungsi selama beberapa minggu ini. Saya memerlukan bantuan dari seseorang yang ahli dengan masalah elektronik untuk memperbaiki mesin cuci saya.,Servis Mesin Cuci
Kami membuka kesempatan bagi tukang semen berpengalaman untuk bergabung dalam proyek superblok premium kami di kawasan Jakarta Selatan. Kualifikasi yang diinginkan mencakup pengalaman minimal 5 tahun dalam pengecoran struktural dan pondasi gedung bertingkat. Gaji kompetitif dan fasilitas kerja yang modern menanti Anda. Segera kirimkan lamaran dan portofolio Anda untuk pertimbangan lebih lanjut.,Tukang Semen
Kami mencari tukang kayu berpengalaman dalam menghasilkan perabotan multifungsional untuk proyek pembangunan rumah susun yang modern dan efisien.,Tukang Kayu
"Posisi terbuka untuk tukang kayu yang ahli dalam penggunaan kayu jati dan mahoni untuk proyek pembangunan rumah kayu di atas bukit Bintang, dengan pengalaman yang solid.",Tukang Kayu
"Mesin cuci saya tidak berfungsi dengan baik, bahkan setelah dikosongkan dan dimatikan. Lampu indikator menyala, tetapi mesin tidak beroperasi seperti biasanya. Saya perlukan bantuan dari seorang teknisi elektronik untuk memperbaiki masalah ini.",Servis Mesin Cuci
"Kulkas saya mengalami kerusakan, yaitu mesin tidak menyala dan suhu tidak sesuai dengan setting. Tentunya ini merupakan masalah yang serius dan saya membutuhkan bantuan dari seorang teknisi elektronik yang bisa mengganti atau memperbaiki teknoligi kulkas saya.",Servis Kulkas
Lowongan teknisi komputer kami menawarkan kesempatan kepada individu yang memiliki keahlian dalam peningkatan keamanan sistem komputer dan perlindungan terhadap ancaman siber.,Service Sistem
"Kami sedang mencari teknisi komputer yang memiliki keterampilan dalam mengatasi masalah perangkat lunak, serta memiliki pengetahuan mendalam tentang pemeliharaan dan pembaruan sistem.",Service Perangkat lunak
Kami membuka peluang bagi teknisi komputer berbakat yang memiliki fokus pada perangkat lunak untuk menjadi bagian dari tim kami yang berdedikasi.,Service Perangkat lunak
Perusahaan kami mencari teknisi komputer yang dapat mengembangkan dan mengimplementasikan kebijakan keamanan data yang mematuhi peraturan dan standar industri.,Service Keamanan
"Kami mencari teknisi komputer yang memiliki keahlian dalam implementasi dan pemeliharaan infrastruktur jaringan, termasuk pemecahan masalah keamanan dan performa.",Service Sistem
"Kami mengundang teknisi komputer yang memiliki keahlian tinggi dalam perangkat lunak untuk bergabung dengan tim kami. Jika Anda memiliki pengalaman dalam menangani permasalahan instalasi, memahami struktur registry, dan dapat mengoptimalkan kinerja aplikasi, kami ingin mendengar lebih banyak tentang latar belakang Anda.",Service Perangkat lunak
Kami mencari tukang las yang mahir dalam proyek pengelasan logam baja tahan panas untuk industri manufaktur suhu tinggi. Pekerjaan mencakup pengelasan komponen logam yang tahan terhadap suhu ekstrem. Pelamar diharapkan memiliki pemahaman tentang sifat-sifat termal logam dan pengalaman dalam proyek industri dengan suhu tinggi.,Tukang Las
"Jika Anda adalah seorang teknisi komputer yang dapat memberikan pelayanan service perangkat keras di tempat, kami ingin mendengar dari Anda.",Service Perangkat keras
"Saat ini, kulkas saya mengalami masalah yang terkait dengan kompresor dan suhu kulkas tidak stabil. Masalah ini telah terjadi sejak sekitar 1 minggu lalu. Saya mencari teknisi elektronik yang terampil untuk membantu memperbaiki kulkas. Jika Anda memiliki keahlian dalam bidang ini dan siap membantu, harap hubungi saya segera.",Servis Kulkas
"Perusahaan kami membuka kesempatan bagi tukang las pipa berpengalaman untuk proyek HVAC. Kualifikasi mencakup pemahaman tentang sistem pemanasan, ventilasi, dan pendingin udara, pengalaman dalam pengelasan pipa HVAC, dan kepatuhan terhadap peraturan keselamatan HVAC.",Tukang Las
Ac saya sudah tidak mengeluarkan angin dingin selama sebulan lebih. Saya rasa ada sesuatu yang salah dengan dan memerlukan seorang teknisi elektronik yang bisa memperbaiki masalah ini.,Servis AC
Lowongan untuk tukang batu dengan keahlian seni ukir batuan. Diperlukan untuk proyek restorasi bangunan sejarah di Jawa Tengah. Pengalaman atau minat dalam sejarah dan nilai-nilai budaya sangat diutamakan.,Tukang Batu
"Perusahaan kami membuka peluang bagi tukang cat bangunan yang mahir dalam pengerjaan Venetian plaster. Kualifikasi mencakup pengalaman dalam menciptakan tekstur yang mewah, kemampuan untuk menghasilkan efek marmer, dan keterampilan dalam mengaplikasikan lapisan plaster dengan kehalusan.",Tukang Cat
"Perusahaan kami mencari teknisi komputer yang ahli dalam pemantauan dan deteksi ancaman, serta dapat berkolaborasi dengan tim keamanan untuk mengidentifikasi dan menanggapi serangan siber.",Service Keamanan
Lowongan untuk tukang batu dengan keahlian khusus dalam seni ukir batuan. Proyek restorasi bangunan sejarah membutuhkan keahlian ini. Pengalaman dan minat terhadap sejarah sangat diutamakan.,Tukang Batu
Kami membuka peluang bagi tukang las yang ahli dalam proyek pengelasan logam aluminium untuk industri penerbangan. Bergabunglah dengan tim kami yang fokus pada kualitas tinggi dan toleransi ketat dalam setiap pengelasan aluminium. Pengalaman dalam pengelasan logam aluminium pada industri penerbangan adalah keunggulan.,Tukang Las
Kami mencari tukang las yang mahir dalam proyek instalasi logam untuk konstruksi bangunan. Pekerjaan mencakup pengelasan komponen struktural dan ornamentasi logam. Pelamar diharapkan memiliki keterampilan pengelasan yang tinggi dan pengalaman dalam proyek konstruksi bangunan bertingkat.,Tukang Las
"TV digital saya mengalami masalah di mana layar tidak menampilkan gambar sama sekali, hanya terdengar suara. Saya sedang mencari teknisi elektronik yang memiliki keahlian dalam servis TV digital untuk memeriksa dan memperbaiki permasalahan ini. Mohon segera hubungi saya jika Anda memiliki kemampuan yang dibutuhkan.",Servis Televisi
"Proyek jembatan modern kami memerlukan tukang semen berpengalaman dengan pengetahuan mendalam tentang teknik penyemenan khusus untuk infrastruktur besar. Kandidat ideal memiliki setidaknya 7 tahun pengalaman dalam penyemenan proyek jembatan. Kami menawarkan gaji yang kompetitif, bonus kinerja, dan peluang pengembangan karir yang menarik.",Tukang Semen
"Kami mencari tukang las stainless steel yang berpengalaman untuk proyek perbaikan kapal. Kualifikasi melibatkan pemahaman tentang kondisi maritim, kemampuan dalam perbaikan struktural kapal, dan kepatuhan terhadap standar keselamatan maritim.",Tukang Las
Keluhan saya adalah televisi digital milik saya tidak dapat dipakai. Masalah ini telah terjadi selama kurang lebih satu minggu. Saya berharap dapat memanggil seorang teknisi elektronik yang ahli untuk memperbaikinya. Terima kasih.,Servis Televisi
"Lowongan pekerjaan teknisi komputer tersedia untuk individu yang mahir dalam mendiagnosa dan memperbaiki masalah perangkat keras. Jika Anda memiliki pengalaman dalam troubleshooting dan penggantian komponen, kami mengundang Anda untuk melamar.",Service Perangkat keras
"Lowongan teknisi komputer kami mengharapkan kandidat yang dapat memahami dan mengimplementasikan kebijakan keamanan IT, termasuk deteksi dini dan pencegahan potensi ancaman keamanan.",Service Sistem
"Proyek pusat perbelanjaan terkemuka kami di Jakarta Timur memerlukan tukang semen berpengalaman untuk memastikan kekokohan struktural dan estetika yang maksimal. Kami mencari individu dengan pengalaman minimal 5 tahun dalam pengecoran lantai dan dinding untuk bangunan komersial. Gaji yang kompetitif, tunjangan kesejahteraan, dan lingkungan kerja yang dinamis siap memperkuat karir Anda.",Tukang Semen
"Lowongan teknisi komputer kami terbuka untuk individu yang dapat mengelola dan memperbarui sistem manajemen data terdistribusi, termasuk pengoptimalan kinerja dan keamanan.",Service Data
Pekerjaan kami saat ini membutuhkan tukang kayu perabotan rumah tangga yang dapat memberikan sentuhan artistik pada setiap potongannya. Kualifikasi utama termasuk pemahaman mendalam tentang desain interior dan keahlian dalam membuat perabotan fungsional dan estetis.,Tukang Kayu
Lowongan teknisi komputer kami terbuka bagi individu yang dapat merancang dan melaksanakan skema otentikasi ganda serta tindakan keamanan identitas lainnya.,Service Keamanan
Perusahaan kami membuka lowongan untuk teknisi komputer yang berfokus pada pengelolaan dan analisis data komputer guna mendukung keputusan bisnis dan pengembangan teknologi.,Service Data
"Jika Anda memiliki keahlian dalam mengelola alur kerja data, mulai dari pengumpulan hingga transformasi, kami ingin mendengar lebih banyak tentang bagaimana Anda dapat berkontribusi pada tim kami.",Service Data
"Sound system di kantor kami mengalami gangguan dalam beberapa minggu terakhir, terutama terkait dengan speaker utama yang mengeluarkan suara terdistorsi dan pecah saat digunakan. Kami sedang mencari teknisi elektronik yang memiliki keahlian dalam servis sound system untuk memeriksa dan memperbaiki permasalahan ini secepat mungkin. Jika Anda memiliki keterampilan yang relevan, mohon segera hubungi kami.",Servis Soundsystem
